GeberNr,Name,Gruppe,Prop1,Prop2,Prop3,Prop4
1,ID 1,Type1,90,50,40,0.1
2,ID 2,Type1,80,60,40,0.2
3,ID 3,Type1,67,4,17,0.3
4,ID 4,Type1,11,33,59,0.4
5,ID 5,Type2,54,6,42,0.1
6,ID 6,Type2,38,44,31,0.2
7,ID 7,Type2,15,1,48,0.3
8,ID 8,Type2,85,37,15,0.4
9,ID 9,Type3,100,11,5,0.1
10,ID 10,Type3,25,43,35,0.2
11,ID 11,Type3,26,56,27,0.3
12,ID 12,Type4,100,56,77,0.4
13,ID 13,Type4,24,68,53,0.1
14,ID 14,Type4,42,12,70,0.2
15,ID 15,Type4,62,23,17,0.3
16,ID 16,Type4,11,53,80,0.4
17,ID 17,Type4,40,90,26,0.1
18,ID 18,Type4,24,48,17,0.1
